h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7], ID
37.94405594405595,0,0,36864.0,299.3947136779305,-27.131709222606716,94.6723957584777,1.9135432779554584,0
63.92744755244755,0,32,36864.0,706.6601811786335,-20.51404956706445,89.57589038931337,2.3502177222885923,0
63.88461538461539,0,0,36864.0,742.6906434911243,-18.97949404114026,87.33081711066474,2.3833328138456924,0
62.57430069930069,0,0,36864.0,721.7004681425436,-19.90069432609624,87.95658596961707,2.32934953413895,0
54.63461538461538,0,0,36864.0,599.3858467253899,-22.276023614151537,88.10930248782654,2.291803070324691,0
62.80157342657343,0,0,36864.0,683.5442479422893,-21.51299890633979,90.70223254679372,2.3022690994854798,0
64.8986013986014,0,0,36864.0,764.3536098953495,-18.75392958811303,87.21249993027048,2.347921449472637,0
65.70541958041959,0,32,36864.0,732.8777017480988,-19.39646073466098,90.56149254406311,2.4022712874779035,0
56.40734265734265,0,0,36864.0,623.5631750788547,-22.123605863124947,88.73720621333112,2.2895368461033074,0
60.11975524475525,0,0,36864.0,689.4781024400642,-20.18907818283578,87.61986330711078,2.3587746110657095,0
65.77447552447552,0,32,36864.0,779.4665444367695,-17.832112132697933,86.49511982341807,2.3999591067082138,0
62.12762237762238,0,0,36864.0,709.6107263038535,-20.137482946611325,87.98285835808534,2.3401704474092635,0
58.8444055944056,0,32,36864.0,597.9572010703457,-23.41603336221137,94.14139646575175,2.304005795689889,0
45.96678321678321,0,0,36864.0,405.6650718708738,-26.45994600351514,95.6921916753733,2.15171203503988,0
62.25611888111889,0,32,36864.0,663.4625171730587,-21.692521067246172,92.42861626458169,2.3356954905515086,0
67.94667832167832,0,32,36864.0,816.6228963480794,-16.954865447347448,85.65431105790167,2.397832700694497,0
58.35314685314685,0,0,36864.0,602.6714738495771,-23.30414880296191,93.35304499570019,2.2987353920092057,0
52.85664335664336,0,0,36864.0,524.3523262139958,-25.361828166306314,95.33880973693331,2.1449316654336843,0
59.01748251748252,0,0,36864.0,608.2464652917013,-23.18111571831927,93.84333273462163,2.2935076503252056,0
61.76835664335664,0,0,36864.0,708.8774709910938,-20.18606420345189,87.50419790787757,2.3371434446146373,0
53.47902097902098,0,0,36864.0,574.5482404396303,-22.774318987873993,89.45401674276572,2.3004803100095375,0
57.49388111888111,0,0,36864.0,610.2227881520795,-22.88971553600144,91.2995877031356,2.284931073894125,0
56.1993006993007,0,0,36864.0,610.2397901486626,-22.33122891964516,89.71976157788887,2.313334360651598,0
63.36538461538463,0,0,36864.0,739.4042033687466,-19.1868439340318,87.85387877954238,2.3527959132442957,0
67.01048951048952,0,32,36864.0,754.699286945572,-19.173263212538682,89.42812750560168,2.376158989285816,0
62.63636363636363,0,32,36864.0,700.1172123331214,-20.691687384745432,88.59824059269629,2.3377044910745,0
60.28234265734265,0,0,36864.0,647.8283220412673,-22.153462515116477,91.70216171673184,2.306545278004078,0
61.92045454545454,0,0,36864.0,703.3370587154324,-20.387247843660173,87.93842069374871,2.336776087374285,0
61.13024475524475,0,0,36864.0,667.8761575099944,-21.503464566403835,89.96878350639713,2.3241400023375864,0
68.5944055944056,0,32,36864.0,771.6411499339821,-18.838478766919206,89.7432450001904,2.370433677656818,0
62.560314685314694,0,0,36864.0,744.7863678197895,-18.730193122394397,85.92314043551241,2.374792638230977,0
64.49562937062936,0,32,36864.0,699.0287345003117,-20.893841591430906,91.81434816393754,2.3407937857755376,0
62.31293706293706,0,0,36864.0,713.4554161419874,-19.907146928559534,87.75558477258855,2.361545066957751,0
60.99213286713287,0,0,36864.0,681.9425184873038,-21.09141272906859,88.49365693641602,2.3112633288887614,0
69.24650349650351,0,32,36864.0,786.6991352725072,-18.237100525942477,89.03557190639735,2.391769510173869,0
58.24213286713287,0,0,36864.0,597.8453812495416,-23.52940183191816,93.35455533823207,2.281785214666079,0
60.900349650349646,0,0,36864.0,683.0227971875153,-20.83020105201608,88.71733975924275,2.3339256553623873,0
61.58129370629371,0,0,36864.0,701.2862150005807,-20.622957725478198,88.44506309881962,2.2985198676954077,0
53.83216783216783,0,0,36864.0,591.7831923321434,-22.42457133929353,88.11462373230081,2.28116607727599,0
65.30594405594405,0,0,36864.0,779.5140864926159,-18.203417717636764,86.66034401138252,2.356621812636838,0
64.90996503496503,0,32,36864.0,719.2076842655815,-19.771106891063553,90.93607773147772,2.398523481753011,0
58.99125874125873,0,0,36864.0,618.982944994254,-22.795103112442007,92.2330066844147,2.309289224972628,0
58.37062937062937,0,0,36864.0,663.8429690938433,-21.072522066474434,87.52329564175785,2.3195213003592725,0
60.35314685314685,0,0,36864.0,696.1627325908358,-19.87377634044111,87.49998328366262,2.3707083372336646,0
48.93356643356643,0,0,36864.0,442.6742734974816,-26.65803904708743,97.63714484805271,2.1129046386119343,0
64.90472027972028,0,32,36864.0,760.6074753617231,-18.359040493325026,86.96778643551255,2.39774519871845,0
56.37762237762238,0,32,36864.0,556.6954618807766,-24.271289384694807,95.03504737862374,2.2920672667515642,0
46.69667832167832,0,0,36864.0,422.1303264180094,-26.13632237101243,94.8674072197342,2.175843838275747,0
62.61276223776224,0,32,36864.0,676.6370688015,-21.096756918134332,91.82015692932711,2.3635771917905797,0
63.47202797202797,0,0,36864.0,719.8322885593427,-20.00200441117999,88.04121617783362,2.3478929294492676,0
60.35139860139861,0,32,36864.0,636.3919075352095,-22.411537695687763,92.67054151207752,2.3309532088511573,0
59.197552447552454,0,0,36864.0,613.9772020483887,-22.832313074752744,93.53693195244352,2.3130546456650354,0
63.34527972027972,0,0,36864.0,749.2995645225623,-18.92865420323164,86.19536696358874,2.3594695697415062,0
64.7097902097902,0,0,36864.0,728.7621995574357,-20.275717928233863,89.26057098394219,2.3147955523963684,0
54.41433566433567,0,0,36864.0,596.5843099754268,-22.1501658396424,88.58780630428208,2.3188991032498754,0
